ip.src,ip.dst,eth.addr,eth.dst,frame.time_relative,frame.time_delta
1005771893,90425199,163650219495072,163650219495072,1.24101,0.01467
2124515706,309828968,100071420536881,100071420536881,1.243709,0.002699
988211059,2484815655,266263327891453,266263327891453,1.251812,0.008103
3954577461,9681991,217294732072183,217294732072183,1.252702,0.00089
556019316,344646270,165924653275896,165924653275896,1.253143,0.000441
2499951992,835637822,271475928599616,271475928599616,1.255924,0.002781
2190486349,870972285,79383532957362,79383532957362,1.256606,0.000682
3331383080,1374815590,53664935913797,53664935913797,1.258434,0.001828
3896770904,374416991,142175923238892,142175923238892,1.26792,0.009486
3468140904,1208573230,218219526851018,218219526851018,1.26848,0.00056
691236169,865776471,119888981951814,119888981951814,1.269085,0.000605
2710783254,1215324163,105739396520120,105739396520120,1.270314,0.001229
3764288078,1985120338,184283732490608,184283732490608,1.272764,0.00245
2638872405,3807621959,203135955929870,203135955929870,1.276493,0.003729
850453008,1324437882,189515639823503,189515639823503,1.286465,0.009972
951797083,3297223966,250861176522180,250861176522180,1.286925,0.00046
3719722035,3613784654,63896152468613,63896152468613,1.293294,0.006369
80592749,1981737586,75239361005104,75239361005104,1.293872,0.000578
2482942784,708018484,266593910773580,266593910773580,1.29487,0.000998
740243027,1816881779,157869932486138,157869932486138,1.299572,0.004702
2244274180,1933260109,121420694618187,121420694618187,1.307483,0.007911
269861201,2373756756,274319344364642,274319344364642,1.308077,0.000594
3953335093,2248372300,99936263296167,99936263296167,1.309073,0.000996
2909758297,1273335820,217843560290168,217843560290168,1.315105,0.006032
2295845491,1144551183,57327985985614,57327985985614,1.315684,0.000579
2420400727,2038444881,157075931702883,157075931702883,1.317471,0.001787
316201763,2100599625,229541162275514,229541162275514,1.318217,0.000746
3923493970,1756872960,247252376127780,247252376127780,1.32638,0.008163
1305282154,2229018178,267833026727264,267833026727264,1.326814,0.000434
2499699822,299356980,280371020230998,280371020230998,1.327124,0.00031
871138820,3553202749,258307074480265,258307074480265,1.327543,0.000419
1547070312,3292061281,130205548527853,130205548527853,1.338548,0.011005
2089152632,1796364858,236480719705965,236480719705965,1.338913,0.000365
3575839593,2998994813,140554960159268,140554960159268,1.339545,0.000632
2312831257,4181311780,172637657284929,172637657284929,1.343754,0.004209
3703953716,1415220013,237308120195213,237308120195213,1.344227,0.000473
3999020143,2663693835,221696600686787,221696600686787,1.345639,0.001412
834876284,1616717628,236949673818554,236949673818554,1.345967,0.000328
3725823554,1648140820,147844725944711,147844725944711,1.350269,0.004302
3717241965,1805745724,137732257821621,137732257821621,1.350688,0.000419
3818180981,28625197,229731713754436,229731713754436,1.351614,0.000926
3452941874,2534310920,204487507962050,204487507962050,1.357045,0.005431
4229958734,140250678,48152778949389,48152778949389,1.369095,0.01205
1100486238,3808768279,280858097467707,280858097467707,1.377819,0.008724
1441196553,1956807286,184523795191564,184523795191564,1.38364,0.005821
3565123380,266464307,21719119409264,21719119409264,1.385924,0.002284
2722238236,1734866518,42674249284340,42674249284340,1.389571,0.003647
973678690,2702115680,82639874084909,82639874084909,1.389932,0.000361
3368209790,2669447215,223871151860001,223871151860001,1.390038,0.000106
