ip.src,ip.dst,ip.len,ip.flags.df,ip.flags.mf,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","10","0","0x0011","0.001953000",,,,,"68.437513000","0.001953000","0.016592000","0.001953000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","10","0","0x0010","0.000975000",,,,,"68.438488000","0.000975000","0.017567000","0.000975000"
,,,,,,,,,,,,,,,,,,,,,,"71.041439000","2.602951000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","11","0","0x0002",,,,,,"73.439805000","2.398366000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","11","0","0x0012","0.000943000",,,,,"73.440748000","0.000943000","0.000943000","0.000943000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","11","0","0x0010","0.001952000",,,,,"73.442700000","0.001952000","0.002895000","0.001952000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","11","0","0x0018",,,,"1",,"73.442700000","0.000000000","0.002895000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","11","0","0x0010","0.001992000",,,,,"73.444692000","0.001992000","0.004887000","0.001992000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","11","0","0x0018",,,,,,"73.452460000","0.007768000","0.012655000","0.007768000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","11","0","0x0010","0.000976000",,,,,"73.453436000","0.000976000","0.013631000","0.000976000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","11","0","0x0011",,,,,,"73.454412000","0.000976000","0.014607000","0.000976000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","11","0","0x0011","0.001951000",,,,,"73.456363000","0.001951000","0.016558000","0.001951000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","11","0","0x0010","0.001952000",,,,,"73.458315000","0.001952000","0.018510000","0.001952000"
,,,,,,,,,,,,,,,,,,,,,,"75.805335000","2.347020000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","12","0","0x0002",,,,,,"78.461113000","2.655778000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","12","0","0x0012","0.000976000",,,,,"78.462089000","0.000976000","0.000976000","0.000976000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","12","0","0x0010","0.001952000",,,,,"78.464041000","0.001952000","0.002928000","0.001952000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","12","0","0x0018",,,,"1",,"78.464041000","0.000000000","0.002928000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","12","0","0x0010","0.001952000",,,,,"78.465993000","0.001952000","0.004880000","0.001952000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","12","0","0x0018",,,,,,"78.474777000","0.008784000","0.013664000","0.008784000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","12","0","0x0010","0.001953000",,,,,"78.476730000","0.001953000","0.015617000","0.001953000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","12","0","0x0011",,,,,,"78.477705000","0.000975000","0.016592000","0.000975000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","12","0","0x0011","0.001953000",,,,,"78.479658000","0.001953000","0.018545000","0.001953000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","12","0","0x0010","0.001006000",,,,,"78.480664000","0.001006000","0.019551000","0.001006000"
,,,,,,,,,,,,,,,,,,,,,,"80.566176000","2.085512000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","13","0","0x0002",,,,,,"83.487267000","2.921091000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","13","0","0x0012","0.001953000",,,,,"83.489220000","0.001953000","0.001953000","0.001953000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","13","0","0x0010","0.000975000",,,,,"83.490195000","0.000975000","0.002928000","0.000975000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","13","0","0x0018",,,,"1",,"83.491171000","0.000976000","0.003904000","0.000976000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","13","0","0x0010","0.000977000",,,,,"83.492148000","0.000977000","0.004881000","0.000977000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","13","0","0x0018",,,,,,"83.500932000","0.008784000","0.013665000","0.008784000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","13","0","0x0010","0.000976000",,,,,"83.501908000","0.000976000","0.014641000","0.000976000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1068","73","0","13","0","0x0011",,,,,,"83.502883000","0.000975000","0.015616000","0.000975000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","74","1068","0","13","0","0x0011","0.001983000",,,,,"83.504866000","0.001983000","0.017599000","0.001983000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64128","1069","74","0","13","0","0x0010","0.001922000",,,,,"83.506788000","0.001922000","0.019521000","0.001922000"
,,,,,,,,,,,,,,,,,,,,,,"85.268345000","1.761557000",,
"10.0.2.15","10.0.2.2","60","1","0",,,,"64","6","64240","0","0","0","14","0","0x0002",,,,,,"88.531452000","3.263107000","0.000000000","0.000000000"
"10.0.2.2","10.0.2.15","60","1","0",,,,"64","6","5792","1","0","0","14","0","0x0012","0.001951000",,,,,"88.533403000","0.001951000","0.001951000","0.001951000"
"10.0.2.15","10.0.2.2","52","1","0",,,,"64","6","64256","1","1","0","14","0","0x0010","0.001952000",,,,,"88.535355000","0.001952000","0.003903000","0.001952000"
"10.0.2.15","10.0.2.2","124","1","0",,,,"64","6","64256","1","1","72","14","0","0x0018",,,,"1",,"88.535355000","0.000000000","0.003903000","0.000000000"
"10.0.2.2","10.0.2.15","52","1","0",,,,"64","6","5824","73","1","0","14","0","0x0010","0.001988000",,,,,"88.537343000","0.001988000","0.005891000","0.001988000"
"10.0.2.2","10.0.2.15","1119","1","0",,,,"64","6","5824","73","1","1067","14","0","0x0018",,,,,,"88.545150000","0.007807000","0.013698000","0.007807000"
