ip.src,ip.dst,ip.len,ip.flags.df,ip.ttl,ip.proto,frame.time_relative,frame.time_delta,label
3232235778,3232235779,84.0,0.0,64.0,1.0,9.521191,0.011817,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.523209,0.002018,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.531704,0.008495,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.539151,0.007447,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.549133,0.009982,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.551339,0.002206,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.560197,0.008858,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.561247,0.00105,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.57213,0.010883,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.576162,0.004032,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.589226,0.013064,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.595289,0.006063,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.597091,0.001802,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.598046,0.000955,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.60849,0.010444,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.608611,0.000121,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.618661,0.01005,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.620042,0.001381,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.627038,0.006996,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.627976,0.000938,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.634222,0.006246,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.635366,0.001144,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.647212,0.011846,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.648542,0.00133,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.656239,0.007697,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.657637,0.001398,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.664482,0.006845,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.66678,0.002298,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.673792,0.007012,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.675309,0.001517,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.682086,0.006777,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.684305,0.002219,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.688577,0.004272,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.690605,0.002028,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.702068,0.011463,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.704212,0.002144,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.714436,0.010224,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.716368,0.001932,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.727707,0.011339,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.728111,0.000404,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.740106,0.011995,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.741504,0.001398,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.754057,0.012553,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.756152,0.002095,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.761954,0.005802,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.762798,0.000844,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.770095,0.007297,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.771126,0.001031,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.778106,0.00698,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.780133,0.002027,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.785279,0.005146,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.786224,0.000945,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.793571,0.007347,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.794784,0.001213,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.80128,0.006496,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.802225,0.000945,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.809591,0.007366,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.81093,0.001339,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.81641,0.00548,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.817284,0.000874,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.824237,0.006953,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.830368,0.006131,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.84012,0.009752,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.841229,0.001109,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.850586,0.009357,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.852362,0.001776,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.863901,0.011539,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.865163,0.001262,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.87894,0.013777,Abnormal_Traffic
3232235778,3232235779,84.0,0.0,64.0,1.0,9.880287,0.001347,Abnormal_Traffic
3232235779,3232235778,84.0,1.0,64.0,1.0,9.890827,0.01054,Abnormal_Traffic
